timestamp,unified_mem_mb,swap_mb,power_w,gpu_util_percent,cpu_percent
2026/02/28 19:09:57,3337,292,3.96,0,0
2026/02/28 19:09:58,3339,292,3.96,0,0
2026/02/28 19:09:59,3342,292,3.93,0,0
2026/02/28 19:10:00,3345,292,3.92,0,0
2026/02/28 19:10:01,3357,292,3.89,0,0
2026/02/28 19:10:02,3357,292,3.94,0,0
2026/02/28 19:10:03,3374,292,3.97,0,5
2026/02/28 19:10:04,3668,292,4.20,0,11
2026/02/28 19:10:05,3812,292,4.23,0,5
2026/02/28 19:10:06,4127,292,7.16,0,5
2026/02/28 19:10:07,4176,292,10.72,0,5
2026/02/28 19:10:08,4189,292,10.74,0,11
2026/02/28 19:10:09,4244,292,10.95,0,1
2026/02/28 19:10:10,4271,292,10.74,0,0
2026/02/28 19:10:11,4268,292,10.60,0,0
2026/02/28 19:10:13,4269,292,10.64,0,0
2026/02/28 19:10:14,4281,292,10.66,0,0
2026/02/28 19:10:15,4283,292,10.67,0,0
2026/02/28 19:10:16,4276,292,10.67,0,0
2026/02/28 19:10:17,4278,291,10.67,0,0
2026/02/28 19:10:18,4291,291,10.66,0,0
2026/02/28 19:10:19,4287,291,10.69,0,0
2026/02/28 19:10:20,4274,291,10.67,0,0
2026/02/28 19:10:21,4255,291,10.68,0,0
2026/02/28 19:10:22,4251,291,10.68,0,0
2026/02/28 19:10:23,4234,291,10.69,0,0
2026/02/28 19:10:24,4224,291,10.66,0,0
2026/02/28 19:10:25,4219,291,10.68,0,0
2026/02/28 19:10:26,4235,291,10.66,0,0
2026/02/28 19:10:27,4241,291,10.66,0,0
2026/02/28 19:10:28,4242,291,10.65,0,0
2026/02/28 19:10:29,4251,291,10.63,0,0
2026/02/28 19:10:30,4241,291,10.65,0,0
2026/02/28 19:10:31,4248,291,10.67,0,0
2026/02/28 19:10:32,4254,291,10.65,0,0
2026/02/28 19:10:33,4262,291,10.64,0,0
2026/02/28 19:10:34,4253,291,10.65,0,0
2026/02/28 19:10:35,4253,291,10.65,0,0
2026/02/28 19:10:36,4249,291,10.67,0,0
2026/02/28 19:10:37,4250,291,10.65,0,0
2026/02/28 19:10:38,4246,291,10.64,0,0
2026/02/28 19:10:39,4242,291,10.65,0,0
2026/02/28 19:10:41,4243,291,10.66,0,0
2026/02/28 19:10:42,4260,291,10.67,0,0
2026/02/28 19:10:43,4259,291,10.65,0,0
2026/02/28 19:10:44,4250,291,10.67,0,0
2026/02/28 19:10:45,4249,291,10.66,0,0
2026/02/28 19:10:46,4247,291,10.65,0,0
2026/02/28 19:10:47,4239,291,10.64,0,0
2026/02/28 19:10:48,4235,291,10.66,0,0
2026/02/28 19:10:49,4223,291,10.68,0,0
2026/02/28 19:10:50,4217,291,10.63,0,0
2026/02/28 19:10:51,4217,291,10.62,0,0
2026/02/28 19:10:52,4220,291,10.62,0,0
2026/02/28 19:10:53,4241,291,10.62,0,0
2026/02/28 19:10:54,4239,291,10.61,0,0
2026/02/28 19:10:55,4232,291,10.61,0,0
2026/02/28 19:10:56,4217,291,10.61,0,0
2026/02/28 19:10:57,4211,291,10.62,0,0
2026/02/28 19:10:58,4212,291,10.64,0,0
2026/02/28 19:10:59,4196,291,10.63,0,0
2026/02/28 19:11:00,4204,291,10.63,0,0
2026/02/28 19:11:01,4198,291,10.64,0,0
2026/02/28 19:11:02,4203,291,10.62,0,0
2026/02/28 19:11:03,4206,291,10.59,0,0
2026/02/28 19:11:04,4211,291,10.62,0,0
2026/02/28 19:11:05,4210,291,10.63,0,0
2026/02/28 19:11:06,4209,291,10.64,0,0
