timestamp,unified_mem_mb,swap_mb,power_w,gpu_util_percent,cpu_percent
2026/03/01 01:21:27,3911,290,3.75,0,0
2026/03/01 01:21:28,3913,290,3.77,0,0
2026/03/01 01:21:29,3911,290,3.80,0,0
2026/03/01 01:21:30,3909,290,3.85,0,0
2026/03/01 01:21:31,3913,290,3.85,0,3
2026/03/01 01:21:32,4125,290,3.84,0,11
2026/03/01 01:21:33,4303,290,4.23,0,5
2026/03/01 01:21:34,4608,290,7.97,0,5
2026/03/01 01:21:35,4626,290,10.27,0,11
2026/03/01 01:21:37,4699,290,10.33,0,2
2026/03/01 01:21:38,4740,290,10.21,0,0
2026/03/01 01:21:39,4747,290,10.06,0,0
2026/03/01 01:21:40,4747,290,10.07,0,0
2026/03/01 01:21:41,4747,290,10.06,0,0
2026/03/01 01:21:42,4763,290,10.10,0,0
2026/03/01 01:21:43,4755,290,10.09,0,0
2026/03/01 01:21:44,4769,290,10.12,0,0
2026/03/01 01:21:45,4757,290,10.10,0,0
2026/03/01 01:21:46,4748,290,10.10,0,0
2026/03/01 01:21:47,4736,290,10.09,0,0
2026/03/01 01:21:48,4737,290,10.08,0,0
2026/03/01 01:21:49,4740,290,10.07,0,0
2026/03/01 01:21:50,4740,290,10.08,0,0
2026/03/01 01:21:51,4755,290,10.09,0,0
2026/03/01 01:21:52,4759,290,10.09,0,0
2026/03/01 01:21:53,4760,290,10.10,0,0
2026/03/01 01:21:54,4755,290,10.09,0,0
2026/03/01 01:21:55,4755,290,10.07,0,0
2026/03/01 01:21:56,4750,290,10.07,0,0
2026/03/01 01:21:57,4766,290,10.08,0,0
2026/03/01 01:21:58,4766,290,10.06,0,0
2026/03/01 01:21:59,4778,290,10.07,0,0
2026/03/01 01:22:00,4772,290,10.07,0,0
2026/03/01 01:22:01,4766,290,10.09,0,0
2026/03/01 01:22:02,4769,290,10.07,0,0
2026/03/01 01:22:04,4772,290,10.07,0,1
2026/03/01 01:22:05,4768,290,10.11,0,11
2026/03/01 01:22:06,5228,290,10.24,0,3
2026/03/01 01:22:07,7612,290,10.58,3,1
2026/03/01 01:22:08,7839,290,10.57,2,1
2026/03/01 01:22:09,8037,290,10.56,2,1
2026/03/01 01:22:10,8235,290,10.59,2,1
2026/03/01 01:22:11,8431,290,10.66,2,1
2026/03/01 01:22:12,8637,290,10.57,2,1
2026/03/01 01:22:13,8851,290,10.65,1,1
2026/03/01 01:22:14,9031,290,10.65,2,1
2026/03/01 01:22:15,9242,290,10.60,1,1
2026/03/01 01:22:16,9445,290,10.61,2,2
2026/03/01 01:22:17,10225,290,10.70,2,3
2026/03/01 01:22:18,11649,290,10.66,2,3
2026/03/01 01:22:19,12766,290,10.65,2,2
2026/03/01 01:22:20,13715,290,10.60,1,3
2026/03/01 01:22:21,14862,290,10.65,2,2
2026/03/01 01:22:22,15623,290,10.62,1,2
2026/03/01 01:22:23,16441,290,10.62,1,2
2026/03/01 01:22:24,17312,290,10.66,2,2
2026/03/01 01:22:25,17846,290,10.58,1,3
2026/03/01 01:22:26,18945,290,10.59,1,2
2026/03/01 01:22:27,19746,290,10.62,1,2
2026/03/01 01:22:28,20401,290,10.62,2,2
2026/03/01 01:22:29,21371,290,10.65,2,2
2026/03/01 01:22:31,22041,290,10.65,2,2
2026/03/01 01:22:32,22513,290,10.61,1,1
2026/03/01 01:22:33,22923,290,10.60,1,1
2026/03/01 01:22:34,23308,290,10.59,1,1
2026/03/01 01:22:35,23695,290,10.63,1,1
2026/03/01 01:22:36,25368,290,10.60,1,1
2026/03/01 01:22:37,25567,290,10.65,2,1
2026/03/01 01:22:38,25779,290,10.61,2,1
2026/03/01 01:22:39,25934,290,10.58,1,1
2026/03/01 01:22:40,26114,290,10.59,1,1
2026/03/01 01:22:41,26309,290,10.58,1,1
2026/03/01 01:22:42,26476,290,10.55,1,1
2026/03/01 01:22:43,26763,290,10.60,1,1
2026/03/01 01:22:44,27237,290,10.62,2,1
2026/03/01 01:22:45,27505,290,10.57,2,1
2026/03/01 01:22:46,27955,290,10.59,1,1
2026/03/01 01:22:47,28367,290,10.62,2,1
2026/03/01 01:22:48,28693,290,10.65,1,1
2026/03/01 01:22:49,29087,290,10.65,1,2
2026/03/01 01:22:50,25593,290,10.96,2,5
2026/03/01 01:22:51,19641,290,31.49,45,5
2026/03/01 01:22:52,19863,290,61.42,96,2
2026/03/01 01:22:53,20275,290,42.89,96,2
