Dateiname,Medium,CLIP_Score,CLAP_Score,SSIM,CER,Logik_Rating,Artefakte_Rating,Prompt_Treue_Rating,Aesthetik_Rating,AV_Sync_Rating,Audioqualitaet_Rating
SDXL_01.png,Bild,34.90546798706055,,,1.0,5,4,4,5,,
SDXL_02.png,Bild,39.23141860961914,,,1.0,4,4,4,4,,
SDXL_03.png,Bild,38.34893035888672,,,1.0,5,4,4,4,,
SDXL_04.png,Bild,36.31117630004883,,,1.0,4,4,4,4,,
SDXL_05.png,Bild,37.121910095214844,,,1.0,4,4,4,4,,
SDXL_06.png,Bild,32.88451385498047,,,,3,3,2,4,,
SDXL_07.png,Bild,34.99454879760742,,,,4,3,3,4,,
SDXL_08.png,Bild,32.48537826538086,,,,2,2,2,2,,
SDXL_09.png,Bild,33.875423431396484,,,,2,2,2,2,,
SDXL_10.png,Bild,35.3731575012207,,,,4,5,2,4,,
SDXL_11.png,Bild,35.654109954833984,,,,5,4,4,4,,
SDXL_12.png,Bild,33.20456314086914,,,,4,3,4,3,,
SDXL_13.png,Bild,34.43855667114258,,,,4,3,4,3,,
SDXL_14.png,Bild,36.13935852050781,,,,5,4,4,4,,
SDXL_15.png,Bild,34.36238098144531,,,,4,3,4,3,,
SDXL_16.png,Bild,37.63436508178711,,,,5,5,4,5,,
SDXL_17.png,Bild,34.364742279052734,,,,4,4,4,4,,
SDXL_18.png,Bild,33.449737548828125,,,,4,4,4,4,,
SDXL_19.png,Bild,34.05111312866211,,,,4,4,3,2,,
SDXL_20.png,Bild,36.23818588256836,,,,4,4,3,4,,
SDXL_21.png,Bild,35.13550567626953,,,,4,3,4,3,,
SDXL_22.png,Bild,36.42524337768555,,,,4,2,4,2,,
SDXL_23.png,Bild,33.760589599609375,,,,3,3,3,2,,
SDXL_24.png,Bild,34.7518196105957,,,,3,2,3,2,,
SDXL_25.png,Bild,33.76020050048828,,,,4,3,4,2,,
